Subject ID:, Run Polar:, Run Ecc:, Run Bars:, Polar no. of cycles:, Polar cycle duration:, Eccentricity no. of cycles:, Eccentricity cycle duration:, Bar no. of sweeps:, Bar sweep duration:
IG_PILOT0_PA-Ecc, Yes, Yes, No, 6, 42.667, 5, 51.333, 99999, 20
Baseline Duration preceding and following stimualtion: 12 secs
Time, pa_cycle_count, time_through_pa_cycle, pa_angle, ecc_cycle_count, time_through_ecc_cycle, ecc_inner_rad, bar_sweep_count, time_through_bar_sweep, bar_drift_position, bar_orientation, fixation_orientation
12.1, 0, 0.1, 0,                              0, 0.1, 0,                              0, 0.1, 1, 0.0,                              45
12.18, 0, 0.18, 0,                              0, 0.18, 0,                              0, 0.18, 5, 0.0,                              45
12.25, 0, 0.24, 1,                              0, 0.24, 1,                              0, 0.24, 8, 0.0,                              45
12.32, 0, 0.32, 2,                              0, 0.32, 2,                              0, 0.32, 12, 0.0,                              45
12.4, 0, 0.4, 2,                              0, 0.4, 2,                              0, 0.4, 15, 0.0,                              45
12.47, 0, 0.46, 3,                              0, 0.46, 3,                              0, 0.46, 18, 0.0,                              45
12.53, 0, 0.53, 3,                              0, 0.53, 3,                              0, 0.53, 21, 0.0,                              45
12.61, 0, 0.6, 4,                              0, 0.6, 4,                              0, 0.6, 24, 0.0,                              45
12.67, 0, 0.67, 5,                              0, 0.67, 4,                              0, 0.67, 27, 0.0,                              45
12.74, 0, 0.73, 5,                              0, 0.73, 5,                              0, 0.73, 30, 0.0,                              45
12.8, 0, 0.8, 6,                              0, 0.8, 5,                              0, 0.8, 32, 0.0,                              45
12.88, 0, 0.87, 6,                              0, 0.87, 6,                              0, 0.87, 36, 0.0,                              45
12.96, 0, 0.95, 7,                              0, 0.95, 6,                              0, 0.95, 39, 0.0,                              45
13.02, 0, 1.02, 8,                              0, 1.02, 7,                              0, 1.02, 42, 0.0,                              45
13.09, 0, 1.08, 8,                              0, 1.08, 7,                              0, 1.08, 45, 0.0,                              45
13.16, 0, 1.16, 9,                              0, 1.16, 8,                              0, 1.16, 48, 0.0,                              45
13.24, 0, 1.24, 9,                              0, 1.24, 8,                              0, 1.24, 52, 0.0,                              45
13.31, 0, 1.3, 10,                              0, 1.3, 9,                              0, 1.3, 54, 0.0,                              45
13.37, 0, 1.37, 11,                              0, 1.37, 9,                              0, 1.37, 57, 0.0,                              45
13.45, 0, 1.44, 11,                              0, 1.44, 10,                              0, 1.44, 60, 0.0,                              45
13.53, 0, 1.52, 12,                              0, 1.52, 11,                              0, 1.52, 64, 0.0,                              45
13.61, 0, 1.6, 12,                              0, 1.6, 11,                              0, 1.6, 67, 0.0,                              45
13.69, 0, 1.68, 13,                              0, 1.68, 12,                              0, 1.68, 71, 0.0,                              45
13.75, 0, 1.75, 14,                              0, 1.75, 12,                              0, 1.75, 74, 0.0,                              45
13.82, 0, 1.81, 14,                              0, 1.81, 13,                              0, 1.81, 76, 0.0,                              45
13.9, 0, 1.89, 15,                              0, 1.89, 13,                              0, 1.89, 80, 0.0,                              45
13.96, 0, 1.95, 15,                              0, 1.95, 14,                              0, 1.95, 83, 0.0,                              45
14.02, 0, 2.02, 16,                              0, 2.02, 14,                              0, 2.02, 85, 0.0,                              45
14.1, 0, 2.09, 17,                              0, 2.09, 15,                              0, 2.09, 89, 0.0,                              45
14.16, 0, 2.16, 17,                              0, 2.16, 15,                              0, 2.16, 91, 0.0,                              45
14.23, 0, 2.22, 18,                              0, 2.22, 16,                              0, 2.22, 94, 0.0,                              45
14.31, 0, 2.3, 18,                              0, 2.3, 16,                              0, 2.3, 98, 0.0,                              45
14.39, 0, 2.38, 19,                              0, 2.38, 17,                              0, 2.38, 101, 0.0,                              45
14.47, 0, 2.46, 20,                              0, 2.46, 18,                              0, 2.46, 104, 0.0,                              45
14.53, 0, 2.52, 20,                              0, 2.52, 18,                              0, 2.52, 107, 0.0,                              45
14.59, 0, 2.59, 21,                              0, 2.59, 19,                              0, 2.59, 110, 0.0,                              45
14.66, 0, 2.65, 21,                              0, 2.65, 19,                              0, 2.65, 113, 0.0,                              45
14.74, 0, 2.73, 22,                              0, 2.73, 20,                              0, 2.73, 116, 0.0,                              45
14.8, 0, 2.79, 23,                              0, 2.79, 20,                              0, 2.79, 119, 0.0,                              45
14.86, 0, 2.86, 23,                              0, 2.86, 21,                              0, 2.86, 122, 0.0,                              45
14.93, 0, 2.92, 24,                              0, 2.92, 21,                              0, 2.92, 125, 0.0,                              45
14.99, 0, 2.98, 24,                              0, 2.98, 22,                              0, 2.98, 127, 0.0,                              45
15.05, 0, 3.05, 25,                              0, 3.05, 22,                              0, 3.05, 130, 0.0,                              45
15.12, 0, 3.11, 25,                              0, 3.11, 22,                              0, 3.11, 133, 0.0,                              45
15.2, 0, 3.19, 26,                              0, 3.19, 23,                              0, 3.19, 136, 0.0,                              45
15.26, 0, 3.25, 26,                              0, 3.25, 24,                              0, 3.25, 139, 0.0,                              45
15.32, 0, 3.32, 27,                              0, 3.32, 24,                              0, 3.32, 142, 0.0,                              45
15.39, 0, 3.38, 28,                              0, 3.38, 24,                              0, 3.38, 144, 0.0,                              45
15.47, 0, 3.46, 28,                              0, 3.46, 25,                              0, 3.46, 148, 0.0,                              45
15.53, 0, 3.52, 29,                              0, 3.52, 26,                              0, 3.52, 151, 0.0,                              45
15.59, 0, 3.59, 29,                              0, 3.59, 26,                              0, 3.59, 153, 0.0,                              45
15.67, 0, 3.66, 30,                              0, 3.66, 27,                              0, 3.66, 157, 0.0,                              45
15.73, 0, 3.73, 30,                              0, 3.73, 27,                              0, 3.73, 160, 0.0,                              45
15.8, 0, 3.79, 31,                              0, 3.79, 28,                              0, 3.79, 162, 0.0,                              45
15.86, 0, 3.86, 32,                              0, 3.86, 28,                              0, 3.86, 165, 0.0,                              45
15.92, 0, 3.92, 32,                              0, 3.92, 29,                              0, 3.92, 168, 0.0,                              45
15.99, 0, 3.98, 33,                              0, 3.98, 29,                              0, 3.98, 171, 0.0,                              45
16.05, 0, 4.05, 33,                              0, 4.05, 29,                              0, 4.05, 173, 0.0,                              45
16.13, 0, 4.12, 34,                              0, 4.12, 30,                              0, 4.12, 177, 0.0,                              45
16.21, 0, 4.2, 34,                              0, 4.21, 31,                              0, 4.21, 180, 0.0,                              0
16.29, 0, 4.28, 35,                              0, 4.28, 31,                              0, 4.28, 184, 0.0,                              0
16.37, 0, 4.36, 36,                              0, 4.36, 32,                              0, 4.36, 187, 0.0,                              0
16.45, 0, 4.44, 36,                              0, 4.44, 32,                              0, 4.44, 191, 0.0,                              0
16.53, 0, 4.52, 37,                              0, 4.52, 33,                              0, 4.52, 194, 0.0,                              0
16.61, 0, 4.6, 38,                              0, 4.6, 34,                              0, 4.6, 198, 0.0,                              0
16.69, 0, 4.68, 38,                              0, 4.68, 34,                              0, 4.69, 201, 0.0,                              0
16.77, 0, 4.76, 39,                              0, 4.76, 35,                              0, 4.76, 205, 0.0,                              0
16.85, 0, 4.84, 40,                              0, 4.84, 35,                              0, 4.85, 208, 0.0,                              0
16.93, 0, 4.93, 40,                              0, 4.93, 36,                              0, 4.93, 211, 0.0,                              0
17.0, 0, 4.99, 41,                              0, 4.99, 37,                              0, 4.99, 214, 0.0,                              0
17.06, 0, 5.06, 42,                              0, 5.06, 37,                              0, 5.06, 217, 0.0,                              0
17.13, 0, 5.12, 42,                              0, 5.12, 37,                              0, 5.12, 220, 0.0,                              0
17.19, 0, 5.18, 43,                              0, 5.18, 38,                              0, 5.18, 223, 0.0,                              0
17.25, 0, 5.25, 43,                              0, 5.25, 38,                              0, 5.25, 225, 0.0,                              0
17.32, 0, 5.31, 44,                              0, 5.31, 39,                              0, 5.31, 228, 0.0,                              0
17.4, 0, 5.39, 44,                              0, 5.39, 40,                              0, 5.39, 232, 0.0,                              0
17.46, 0, 5.45, 45,                              0, 5.45, 40,                              0, 5.45, 234, 0.0,                              0
17.52, 0, 5.52, 46,                              0, 5.52, 40,                              0, 5.52, 237, 0.0,                              0
17.59, 0, 5.58, 46,                              0, 5.58, 41,                              0, 5.58, 240, 0.0,                              0
17.67, 0, 5.66, 47,                              0, 5.66, 42,                              0, 5.66, 243, 0.0,                              0
17.73, 0, 5.72, 47,                              0, 5.72, 42,                              0, 5.72, 246, 0.0,                              0
17.79, 0, 5.79, 48,                              0, 5.79, 42,                              0, 5.79, 249, 0.0,                              0
17.86, 0, 5.85, 48,                              0, 5.85, 43,                              0, 5.85, 252, 0.0,                              0
17.94, 0, 5.93, 49,                              0, 5.93, 44,                              0, 5.93, 255, 0.0,                              0
18.02, 0, 6.01, 50,                              0, 6.01, 44,                              0, 6.01, 259, 0.0,                              0
18.08, 0, 6.07, 50,                              0, 6.07, 45,                              0, 6.07, 261, 0.0,                              0
18.14, 0, 6.14, 51,                              0, 6.14, 45,                              0, 6.14, 264, 0.0,                              0
18.21, 0, 6.2, 51,                              0, 6.2, 46,                              0, 6.2, 267, 0.0,                              0
18.29, 0, 6.28, 52,                              0, 6.28, 46,                              0, 6.28, 270, 0.0,                              0
18.35, 0, 6.34, 52,                              0, 6.34, 47,                              0, 6.35, 273, 0.0,                              0
18.43, 0, 6.42, 53,                              0, 6.42, 47,                              0, 6.42, 277, 0.0,                              0
18.51, 0, 6.51, 54,                              0, 6.51, 48,                              0, 6.51, 280, 0.0,                              0
18.57, 0, 6.57, 54,                              0, 6.57, 48,                              0, 6.57, 283, 0.0,                              0
18.64, 0, 6.63, 55,                              0, 6.63, 49,                              0, 6.63, 286, 0.0,                              0
18.7, 0, 6.7, 55,                              0, 6.7, 49,                              0, 6.7, 288, 0.0,                              0
18.77, 0, 6.76, 56,                              0, 6.76, 50,                              0, 6.76, 291, 0.0,                              0
18.85, 0, 6.84, 57,                              0, 6.84, 50,                              0, 6.84, 295, 0.0,                              0
18.91, 0, 6.9, 57,                              0, 6.9, 51,                              0, 6.9, 297, 0.0,                              0
18.97, 0, 6.97, 58,                              0, 6.97, 51,                              0, 6.97, 300, 0.0,                              0
19.04, 0, 7.03, 58,                              0, 7.03, 52,                              0, 7.03, 303, 0.0,                              0
19.1, 0, 7.1, 59,                              0, 7.1, 52,                              0, 7.1, 306, 0.0,                              0
19.18, 0, 7.18, 59,                              0, 7.18, 53,                              0, 7.18, 309, 0.0,                              0
19.26, 0, 7.26, 60,                              0, 7.26, 53,                              0, 7.26, 313, 0.0,                              0
19.34, 0, 7.34, 61,                              0, 7.34, 54,                              0, 7.34, 316, 0.0,                              0
19.4, 0, 7.4, 61,                              0, 7.4, 55,                              0, 7.4, 319, 0.0,                              0
19.47, 0, 7.46, 62,                              0, 7.46, 55,                              0, 7.46, 322, 0.0,                              0
19.53, 0, 7.53, 62,                              0, 7.53, 56,                              0, 7.53, 324, 0.0,                              0
19.6, 0, 7.59, 63,                              0, 7.59, 56,                              0, 7.59, 327, 0.0,                              0
19.66, 0, 7.66, 64,                              0, 7.66, 56,                              0, 7.66, 330, 0.0,                              0
19.74, 0, 7.74, 64,                              0, 7.74, 57,                              0, 7.74, 333, 0.0,                              0
19.81, 0, 7.8, 65,                              0, 7.8, 58,                              0, 7.8, 336, 0.0,                              0
19.87, 0, 7.86, 65,                              0, 7.86, 58,                              0, 7.87, 339, 0.0,                              0
19.95, 0, 7.95, 66,                              0, 7.95, 59,                              0, 7.95, 343, 0.0,                              0
20.03, 0, 8.03, 67,                              0, 8.03, 59,                              0, 8.03, 346, 0.0,                              0
20.1, 0, 8.09, 67,                              0, 8.09, 60,                              0, 8.09, 349, 0.0,                              0
20.16, 0, 8.16, 68,                              0, 8.16, 60,                              0, 8.16, 352, 0.0,                              0
20.23, 0, 8.22, 68,                              0, 8.22, 61,                              0, 8.22, 355, 0.0,                              0
20.29, 0, 8.28, 69,                              0, 8.28, 61,                              0, 8.28, 357, 0.0,                              0
20.35, 0, 8.35, 69,                              0, 8.35, 62,                              0, 8.35, 360, 0.0,                              0
20.42, 0, 8.42, 70,                              0, 8.42, 62,                              0, 8.42, 363, 0.0,                              0
20.49, 0, 8.48, 71,                              0, 8.48, 63,                              0, 8.48, 366, 0.0,                              0
20.55, 0, 8.55, 71,                              0, 8.55, 63,                              0, 8.55, 369, 0.0,                              0
20.63, 0, 8.63, 72,                              0, 8.63, 64,                              0, 8.63, 372, 0.0,                              0
20.71, 0, 8.71, 72,                              0, 8.71, 64,                              0, 8.71, 376, 0.0,                              0
20.78, 0, 8.77, 73,                              0, 8.77, 65,                              0, 8.77, 378, 0.0,                              0
20.84, 0, 8.84, 74,                              0, 8.84, 65,                              0, 8.84, 381, 0.0,                              0
20.91, 0, 8.9, 74,                              0, 8.9, 66,                              0, 8.9, 384, 0.0,                              0
20.97, 0, 8.97, 75,                              0, 8.97, 66,                              0, 8.97, 387, 0.0,                              0
21.04, 0, 9.03, 75,                              0, 9.03, 67,                              0, 9.03, 390, 0.0,                              0
21.11, 0, 9.1, 76,                              0, 9.1, 67,                              0, 9.1, 393, 0.0,                              0
21.19, 0, 9.18, 76,                              0, 9.18, 68,                              0, 9.18, 396, 0.0,                              0
21.25, 0, 9.25, 77,                              0, 9.25, 68,                              0, 9.25, 399, 0.0,                              0
21.32, 0, 9.31, 78,                              0, 9.31, 69,                              0, 9.31, 402, 0.0,                              0
21.38, 0, 9.38, 78,                              0, 9.38, 69,                              0, 9.38, 405, 0.0,                              0
21.45, 0, 9.44, 79,                              0, 9.44, 70,                              0, 9.44, 408, 0.0,                              0
21.53, 0, 9.53, 79,                              0, 9.53, 70,                              0, 9.53, 411, 0.0,                              0
21.61, 0, 9.61, 80,                              0, 9.61, 71,                              0, 9.61, 415, 0.0,                              0
21.69, 0, 9.69, 81,                              0, 9.69, 72,                              0, 9.69, 418, 0.0,                              0
21.76, 0, 9.75, 81,                              0, 9.75, 72,                              0, 9.75, 421, 0.0,                              0
21.82, 0, 9.82, 82,                              0, 9.82, 73,                              0, 9.82, 424, 0.0,                              0
21.89, 0, 9.88, 82,                              0, 9.88, 73,                              0, 9.89, 427, 0.0,                              0
21.97, 0, 9.97, 83,                              0, 9.97, 74,                              0, 9.97, 430, 0.0,                              0
22.04, 0, 10.03, 84,                              0, 10.03, 74,                              0, 10.03, 433, 0.0,                              0
22.11, 0, 10.1, 84,                              0, 10.1, 75,                              0, 10.1, 436, 0.0,                              0
22.17, 0, 10.17, 85,                              0, 10.17, 75,                              0, 10.17, 439, 0.0,                              0
22.24, 0, 10.23, 85,                              0, 10.23, 76,                              0, 10.23, 442, 0.0,                              0
22.32, 0, 10.31, 86,                              0, 10.31, 76,                              0, 10.31, 445, 0.0,                              45
22.39, 0, 10.38, 87,                              0, 10.38, 77,                              0, 10.38, 448, 0.0,                              45
22.47, 0, 10.46, 87,                              0, 10.46, 77,                              0, 10.46, 452, 0.0,                              45
22.54, 0, 10.53, 88,                              0, 10.53, 78,                              0, 10.53, 455, 0.0,                              45
22.61, 0, 10.6, 88,                              0, 10.6, 79,                              0, 10.6, 458, 0.0,                              45
22.69, 0, 10.69, 89,                              0, 10.69, 79,                              0, 10.69, 462, 0.0,                              45
22.78, 0, 10.77, 90,                              0, 10.77, 80,                              0, 10.77, 465, 0.0,                              45
22.86, 0, 10.86, 90,                              0, 10.86, 80,                              0, 10.86, 469, 0.0,                              45
