Subject ID:, Run Polar:, Run Ecc:, Run Bars:, Polar no. of cycles:, Polar cycle duration:, Eccentricity no. of cycles:, Eccentricity cycle duration:, Bar no. of sweeps:, Bar sweep duration:
IG_PILOTBars1_SES01, No, No, Yes, 18, 42.667, 15, 51.333, 16, 20
Baseline Duration preceding and following stimualtion: 12 secs
Time, pa_cycle_count, time_through_pa_cycle, pa_angle, ecc_cycle_count, time_through_ecc_cycle, ecc_inner_rad, bar_sweep_count, time_through_bar_sweep, bar_drift_position, bar_orientation, fixation_orientation
12.09, 0, 0.08, 0,                              0, 0.08, 0,                              0, 0.08, 1, 0.0,                              0
12.17, 0, 0.16, 0,                              0, 0.16, 0,                              0, 0.16, 4, 0.0,                              0
12.25, 0, 0.24, 1,                              0, 0.24, 1,                              0, 0.24, 8, 0.0,                              0
12.34, 0, 0.34, 2,                              0, 0.34, 2,                              0, 0.34, 12, 0.0,                              0
12.44, 0, 0.43, 2,                              0, 0.43, 2,                              0, 0.43, 16, 0.0,                              0
12.53, 0, 0.53, 3,                              0, 0.53, 3,                              0, 0.53, 20, 0.0,                              0
12.63, 0, 0.62, 4,                              0, 0.62, 4,                              0, 0.62, 24, 0.0,                              0
12.73, 0, 0.72, 5,                              0, 0.72, 4,                              0, 0.72, 28, 0.0,                              0
12.8, 0, 0.8, 6,                              0, 0.8, 5,                              0, 0.8, 32, 0.0,                              0
12.9, 0, 0.89, 6,                              0, 0.89, 6,                              0, 0.89, 36, 0.0,                              0
12.99, 0, 0.99, 7,                              0, 0.99, 6,                              0, 0.99, 40, 0.0,                              0
13.09, 0, 1.08, 8,                              0, 1.08, 7,                              0, 1.08, 44, 0.0,                              0
13.19, 0, 1.18, 9,                              0, 1.18, 8,                              0, 1.18, 48, 0.0,                              0
13.27, 0, 1.26, 9,                              0, 1.26, 9,                              0, 1.26, 52, 0.0,                              0
13.35, 0, 1.34, 10,                              0, 1.34, 9,                              0, 1.34, 55, 0.0,                              0
13.43, 0, 1.42, 11,                              0, 1.42, 10,                              0, 1.42, 59, 0.0,                              0
13.51, 0, 1.5, 11,                              0, 1.5, 10,                              0, 1.5, 62, 0.0,                              0
13.59, 0, 1.58, 12,                              0, 1.58, 11,                              0, 1.58, 66, 0.0,                              0
13.67, 0, 1.66, 13,                              0, 1.66, 11,                              0, 1.66, 69, 0.0,                              0
